EmployeeNumber,Department,EnvironmentSatisfaction,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
620,Sales,Low,Sales Executive,Excellent,5,4,4859
621,Sales,Very High,Sales Executive,Excellent,10,7,5337
622,Research & Development,High,Laboratory Technician,Excellent,1,0,2340
623,Research & Development,Medium,Manufacturing Director,Excellent,6,5,7491
624,Research & Development,Low,Healthcare Representative,Excellent,2,2,10527
625,Sales,Medium,Manager,Excellent,18,16,16595
626,Sales,Low,Sales Executive,Excellent,9,5,8834
630,Research & Development,Very High,Research Scientist,Excellent,10,9,5577
631,Sales,Very High,Sales Executive,Excellent,4,2,4707
632,Sales,Very High,Sales Representative,Excellent,2,2,2400
634,Research & Development,High,Healthcare Representative,Excellent,1,0,9824
635,Research & Development,Medium,Manufacturing Director,Excellent,6,5,6447
638,Research & Development,Very High,Research Director,Excellent,31,9,19502
639,Research & Development,Medium,Research Scientist,Excellent,6,5,2725
641,Sales,Low,Sales Executive,Outstanding,5,3,6272
643,Research & Development,Very High,Laboratory Technician,Outstanding,1,0,2127
644,Human Resources,Low,Manager,Excellent,32,5,18200
645,Sales,Medium,Sales Representative,Excellent,7,4,2096
647,Research & Development,Low,Laboratory Technician,Excellent,6,3,2886
648,Sales,Medium,Sales Representative,Excellent,1,0,2033
649,Research & Development,Medium,Research Scientist,Excellent,6,5,3622
650,Sales,Medium,Sales Executive,Excellent,3,1,4233
652,Research & Development,Low,Laboratory Technician,Excellent,3,2,3681
653,Sales,Low,Sales Executive,Outstanding,7,7,5460
655,Research & Development,Low,Research Scientist,Excellent,5,3,2187
656,Sales,Very High,Sales Executive,Excellent,3,0,9602
657,Research & Development,Very High,Research Scientist,Excellent,1,0,2836
659,Research & Development,High,Healthcare Representative,Excellent,10,2,4089
661,Research & Development,Medium,Research Director,Excellent,1,0,16627
662,Research & Development,High,Research Scientist,Excellent,0,0,2619
663,Research & Development,Very High,Laboratory Technician,Excellent,8,7,5679
664,Research & Development,Very High,Manager,Excellent,3,2,15402
665,Human Resources,Low,Human Resources,Excellent,2,2,5985
666,Sales,High,Sales Representative,Excellent,8,2,2579
667,Sales,High,Sales Representative,Excellent,4,3,3041
669,Sales,High,Sales Representative,Excellent,3,2,3447
671,Research & Development,Very High,Manager,Excellent,2,2,19513
675,Research & Development,Low,Research Scientist,Outstanding,2,2,2773
677,Sales,High,Sales Executive,Excellent,5,0,7104
679,Research & Development,Low,Research Scientist,Excellent,6,4,6322
680,Research & Development,High,Research Scientist,Outstanding,1,0,2083
682,Sales,Very High,Sales Executive,Outstanding,14,7,8381
683,Research & Development,Medium,Research Scientist,Excellent,10,9,2691
684,Sales,Low,Sales Executive,Excellent,1,1,4286
686,Research & Development,High,Laboratory Technician,Excellent,3,2,2659
689,Research & Development,High,Manufacturing Director,Excellent,10,7,9434
690,Sales,Medium,Sales Executive,Excellent,6,0,5561
691,Research & Development,Medium,Research Scientist,Excellent,17,11,6646
692,Research & Development,High,Healthcare Representative,Outstanding,13,11,7725
698,Human Resources,High,Human Resources,Excellent,9,7,10725
699,Research & Development,Medium,Manufacturing Director,Excellent,3,2,8847
700,Research & Development,Low,Research Scientist,Excellent,4,2,2045
701,Research & Development,Very High,Research Scientist,Excellent,1,0,1009
702,Research & Development,Low,Research Scientist,Excellent,10,8,3348
704,Research & Development,High,Laboratory Technician,Excellent,1,0,1281
705,Research & Development,Low,Research Scientist,Excellent,3,2,2819
707,Sales,Very High,Sales Executive,Outstanding,3,2,4851
709,Sales,Very High,Sales Executive,Outstanding,7,7,4028
710,Research & Development,Medium,Research Scientist,Excellent,10,7,2720
712,Sales,Medium,Sales Executive,Excellent,2,2,8120
714,Sales,Very High,Sales Executive,Outstanding,6,5,4647
715,Research & Development,Very High,Research Scientist,Excellent,1,0,4680
716,Research & Development,Very High,Laboratory Technician,Excellent,20,8,3221
717,Research & Development,Very High,Healthcare Representative,Excellent,8,7,8621
720,Sales,Low,Sales Executive,Excellent,2,2,4577
721,Research & Development,Very High,Healthcare Representative,Excellent,20,7,4553
722,Sales,Very High,Sales Executive,Excellent,10,7,5396
723,Sales,Medium,Sales Executive,Excellent,4,3,6796
724,Research & Development,Medium,Healthcare Representative,Excellent,9,7,7625
725,Research & Development,High,Manufacturing Director,Excellent,9,7,7412
727,Research & Development,High,Research Director,Excellent,7,7,11159
728,Sales,Very High,Sales Executive,Excellent,7,7,4960
729,Sales,Very High,Sales Executive,Outstanding,18,13,10475
730,Research & Development,High,Research Director,Excellent,5,1,14814
731,Human Resources,Medium,Manager,Excellent,21,6,19141
732,Sales,Low,Sales Executive,Excellent,2,2,5405
733,Research & Development,Very High,Manufacturing Director,Outstanding,9,7,8793
734,Human Resources,Very High,Manager,Excellent,22,7,19189
738,Sales,Very High,Sales Representative,Excellent,2,2,3875
741,Research & Development,Low,Research Scientist,Excellent,7,7,2216
742,Research & Development,Low,Research Director,Excellent,8,7,11713
743,Research & Development,High,Manufacturing Director,Excellent,1,0,7861
744,Research & Development,Low,Laboratory Technician,Excellent,5,2,3708
746,Sales,Very High,Sales Executive,Excellent,22,2,13770
747,Sales,High,Sales Executive,Outstanding,8,7,5304
749,Sales,High,Sales Representative,Excellent,1,0,2642
752,Research & Development,High,Research Scientist,Excellent,2,2,2759
754,Sales,Very High,Sales Executive,Excellent,2,2,6804
757,Research & Development,Medium,Healthcare Representative,Excellent,5,1,6142
758,Research & Development,Medium,Laboratory Technician,Excellent,4,3,2500
760,Human Resources,High,Human Resources,Excellent,8,3,6389
762,Research & Development,High,Healthcare Representative,Excellent,10,7,11103
763,Research & Development,Very High,Research Scientist,Outstanding,4,2,2342
764,Research & Development,Very High,Healthcare Representative,Excellent,7,6,6811
766,Sales,Very High,Sales Representative,Excellent,2,2,2297
769,Research & Development,Very High,Laboratory Technician,Excellent,2,2,2450
771,Research & Development,Very High,Healthcare Representative,Excellent,1,0,5093
772,Research & Development,Low,Laboratory Technician,Excellent,10,8,5309
773,Research & Development,Very High,Research Scientist,Excellent,1,0,3057
775,Research & Development,Medium,Manufacturing Director,Excellent,0,0,5121
776,Sales,High,Manager,Excellent,34,6,16856
780,Research & Development,Very High,Research Scientist,Excellent,10,9,2686
781,Sales,High,Sales Executive,Outstanding,6,5,6180
783,Sales,Medium,Sales Representative,Excellent,8,7,6632
784,Research & Development,Low,Research Scientist,Excellent,2,2,3505
785,Sales,Medium,Sales Executive,Excellent,5,4,6397
786,Sales,Very High,Sales Executive,Outstanding,6,5,6274
787,Research & Development,Very High,Manager,Excellent,5,2,19859
789,Sales,Low,Sales Executive,Excellent,10,7,7587
791,Research & Development,Very High,Research Scientist,Excellent,4,3,4258
792,Research & Development,Low,Laboratory Technician,Excellent,2,2,4364
793,Research & Development,Medium,Healthcare Representative,Excellent,8,7,4335
796,Sales,Very High,Sales Executive,Excellent,4,3,5326
797,Research & Development,Medium,Research Scientist,Excellent,4,2,3280
799,Research & Development,Very High,Manufacturing Director,Excellent,5,3,5485
800,Sales,High,Sales Executive,Excellent,4,2,4342
802,Research & Development,Very High,Research Scientist,Excellent,5,3,2782
803,Research & Development,Low,Manufacturing Director,Excellent,15,7,5980
804,Research & Development,High,Research Scientist,Excellent,6,5,4381
805,Sales,Low,Sales Representative,Excellent,3,2,2572
806,Research & Development,Very High,Laboratory Technician,Outstanding,2,2,3833
807,Research & Development,High,Healthcare Representative,Outstanding,8,7,4244
808,Sales,High,Sales Executive,Excellent,3,2,6500
809,Research & Development,Medium,Manager,Excellent,24,7,18430
811,Research & Development,High,Laboratory Technician,Outstanding,0,0,1601
812,Research & Development,High,Laboratory Technician,Excellent,1,0,2694
813,Research & Development,Very High,Laboratory Technician,Outstanding,5,2,3149
815,Research & Development,High,Research Director,Excellent,4,3,17639
816,Research & Development,Medium,Laboratory Technician,Excellent,1,0,2319
817,Research & Development,High,Research Director,Excellent,13,9,11691
819,Sales,Low,Sales Executive,Excellent,3,2,5324
820,Research & Development,High,Manager,Excellent,26,14,16752
823,Research & Development,High,Manufacturing Director,Excellent,9,7,5228
824,Research & Development,High,Research Scientist,Outstanding,10,7,2700
825,Research & Development,Very High,Research Director,Excellent,31,15,19246
826,Research & Development,Very High,Research Scientist,Excellent,2,2,2506
827,Research & Development,Very High,Manufacturing Director,Excellent,4,3,6062
828,Research & Development,High,Research Scientist,Excellent,2,2,4382
829,Human Resources,High,Human Resources,Excellent,5,2,2143
830,Research & Development,High,Manufacturing Director,Excellent,14,13,6162
832,Research & Development,Low,Laboratory Technician,Excellent,1,0,5094
833,Research & Development,High,Manufacturing Director,Outstanding,0,0,6877
834,Research & Development,Medium,Research Scientist,Excellent,1,0,2274
836,Research & Development,Medium,Manufacturing Director,Excellent,9,8,4434
837,Research & Development,Low,Healthcare Representative,Excellent,4,3,6288
838,Research & Development,High,Research Scientist,Excellent,5,2,2553
840,Sales,High,Sales Executive,Excellent,9,8,7654
842,Sales,High,Sales Executive,Excellent,9,7,5160
843,Research & Development,Medium,Research Director,Outstanding,4,1,17159
844,Research & Development,High,Research Director,Excellent,9,8,12808
845,Research & Development,High,Manufacturing Director,Outstanding,8,5,10221
846,Sales,Medium,Sales Executive,Outstanding,8,7,4779
847,Human Resources,High,Human Resources,Excellent,3,2,3737
848,Research & Development,High,Research Scientist,Excellent,8,7,2366
850,Research & Development,Very High,Research Scientist,Excellent,0,0,1706
851,Sales,Low,Manager,Excellent,20,6,16307
852,Research & Development,Very High,Healthcare Representative,Excellent,5,2,5933
854,Research & Development,Low,Research Scientist,Excellent,4,3,3424
855,Sales,Low,Sales Executive,Outstanding,9,8,4037
856,Research & Development,High,Research Scientist,Excellent,6,5,2559
857,Sales,Medium,Sales Executive,Excellent,18,14,6201
859,Sales,Medium,Sales Executive,Excellent,5,2,4403
861,Research & Development,Medium,Research Scientist,Excellent,5,4,3761
862,Sales,Low,Sales Executive,Excellent,5,2,10934
864,Sales,Very High,Sales Executive,Excellent,5,4,10761
865,Research & Development,High,Research Scientist,Excellent,5,3,5175
867,Research & Development,High,Manufacturing Director,Outstanding,9,8,13826
868,Sales,Very High,Sales Executive,Excellent,1,0,6334
869,Human Resources,Medium,Human Resources,Excellent,5,1,4936
872,Research & Development,Very High,Manufacturing Director,Outstanding,2,2,4775
874,Research & Development,Low,Laboratory Technician,Outstanding,3,2,2818
875,Research & Development,Medium,Research Scientist,Excellent,2,1,2515
878,Human Resources,Low,Human Resources,Outstanding,5,4,2342
879,Sales,High,Sales Executive,Excellent,5,3,4194
880,Research & Development,Very High,Manufacturing Director,Outstanding,17,14,10685
881,Research & Development,Very High,Research Scientist,Excellent,10,2,2022
882,Research & Development,Very High,Laboratory Technician,Excellent,3,0,2314
885,Sales,High,Sales Executive,Excellent,5,2,4256
887,Research & Development,High,Research Scientist,Excellent,4,2,3580
888,Research & Development,Low,Laboratory Technician,Excellent,5,2,3162
889,Sales,Medium,Sales Executive,Excellent,10,8,6524
893,Sales,Medium,Sales Representative,Excellent,2,2,2899
894,Research & Development,High,Laboratory Technician,Excellent,5,3,5231
895,Research & Development,Very High,Research Scientist,Excellent,6,4,2356
896,Sales,Medium,Sales Representative,Excellent,3,2,2800
897,Sales,Low,Sales Executive,Excellent,2,0,11836
899,Research & Development,Very High,Manufacturing Director,Excellent,13,10,10903
900,Sales,High,Sales Representative,Excellent,5,4,2973
901,Research & Development,Very High,Research Director,Excellent,12,9,14275
902,Research & Development,Very High,Healthcare Representative,Excellent,5,2,5562
903,Sales,High,Sales Executive,Outstanding,7,6,4537
904,Sales,Low,Sales Executive,Excellent,10,0,7642
905,Research & Development,Low,Manager,Excellent,31,6,17924
909,Human Resources,Very High,Human Resources,Excellent,5,4,5204
910,Human Resources,Very High,Human Resources,Excellent,4,3,2277
911,Research & Development,Low,Laboratory Technician,Outstanding,1,0,2795
912,Research & Development,Low,Laboratory Technician,Excellent,4,3,2532
913,Research & Development,Medium,Research Scientist,Excellent,8,7,2559
916,Sales,Low,Sales Executive,Excellent,4,2,4908
918,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2380
920,Research & Development,Low,Manufacturing Director,Outstanding,1,0,4765
922,Sales,High,Sales Representative,Excellent,2,2,2044
923,Research & Development,Very High,Research Scientist,Excellent,1,0,2693
924,Research & Development,High,Healthcare Representative,Excellent,16,8,6586
925,Sales,Very High,Sales Representative,Excellent,3,2,3294
926,Research & Development,Medium,Manufacturing Director,Excellent,3,2,4171
927,Research & Development,Medium,Laboratory Technician,Excellent,7,7,2778
930,Research & Development,High,Research Scientist,Excellent,2,2,2377
932,Research & Development,Very High,Laboratory Technician,Outstanding,2,2,2404
933,Research & Development,Medium,Research Scientist,Excellent,1,1,2318
934,Research & Development,Medium,Laboratory Technician,Excellent,1,0,2008
936,Sales,High,Sales Executive,Excellent,5,4,6244
939,Research & Development,High,Research Scientist,Excellent,3,2,2799
940,Research & Development,High,Healthcare Representative,Excellent,6,0,10552
941,Sales,Medium,Sales Representative,Excellent,7,7,2329
942,Research & Development,Very High,Healthcare Representative,Outstanding,10,6,4014
944,Research & Development,Low,Laboratory Technician,Excellent,26,9,7403
945,Research & Development,Very High,Research Scientist,Excellent,0,0,2259
947,Sales,Very High,Sales Executive,Excellent,9,8,6932
949,Research & Development,Medium,Research Scientist,Excellent,6,2,4678
950,Research & Development,Very High,Research Director,Excellent,15,12,13582
951,Research & Development,High,Laboratory Technician,Outstanding,3,0,2332
952,Sales,High,Sales Representative,Excellent,1,0,2413
954,Sales,Low,Sales Executive,Excellent,1,0,9705
956,Sales,High,Sales Executive,Excellent,7,7,4294
957,Research & Development,Very High,Laboratory Technician,Excellent,18,13,4721
958,Research & Development,High,Laboratory Technician,Outstanding,11,8,2519
959,Sales,Very High,Sales Representative,Excellent,1,0,2121
960,Research & Development,Low,Laboratory Technician,Excellent,1,0,2973
961,Research & Development,Very High,Healthcare Representative,Excellent,9,7,5855
964,Research & Development,Very High,Research Scientist,Excellent,1,1,3617
966,Research & Development,High,Manufacturing Director,Excellent,8,7,6725
967,Sales,High,Sales Executive,Excellent,16,7,10325
969,Research & Development,Medium,Healthcare Representative,Excellent,5,0,6949
970,Sales,Low,Sales Executive,Excellent,14,1,10609
972,Research & Development,High,Laboratory Technician,Excellent,9,7,4447
974,Sales,High,Sales Representative,Excellent,3,1,2157
975,Sales,High,Sales Executive,Excellent,5,2,4601
976,Research & Development,Very High,Manager,Excellent,9,8,17099
977,Research & Development,Very High,Research Scientist,Outstanding,1,0,2479
981,Sales,High,Manager,Excellent,17,13,14852
982,Sales,High,Sales Executive,Excellent,8,4,7264
983,Sales,High,Sales Executive,Excellent,5,3,5666
984,Sales,Very High,Sales Executive,Excellent,10,9,7823
985,Sales,Low,Sales Executive,Excellent,8,7,7880
986,Sales,Medium,Sales Executive,Excellent,1,0,13194
987,Research & Development,High,Manufacturing Director,Excellent,19,10,5067
990,Sales,Low,Sales Executive,Excellent,7,7,5079
991,Research & Development,High,Research Scientist,Outstanding,3,2,2321
992,Sales,Very High,Manager,Excellent,10,8,17444
994,Research & Development,Very High,Research Scientist,Outstanding,0,0,2404
995,Research & Development,Medium,Research Scientist,Excellent,3,2,3452
996,Research & Development,Very High,Laboratory Technician,Excellent,5,3,2270
997,Research & Development,Very High,Research Director,Outstanding,5,4,17399
998,Research & Development,High,Healthcare Representative,Excellent,6,5,5488
999,Research & Development,Low,Research Director,Excellent,18,16,19419
1001,Research & Development,High,Laboratory Technician,Excellent,2,2,2811
1002,Research & Development,Very High,Laboratory Technician,Excellent,9,8,3633
1003,Sales,Very High,Sales Executive,Excellent,9,0,4163
1004,Research & Development,Low,Research Scientist,Excellent,5,2,2132
1005,Research & Development,Very High,Manufacturing Director,Excellent,12,11,13973
1006,Research & Development,High,Research Scientist,Excellent,2,1,2684
1007,Research & Development,Very High,Manufacturing Director,Excellent,8,7,10845
1009,Research & Development,Very High,Manufacturing Director,Excellent,4,2,4377
1010,Research & Development,High,Laboratory Technician,Outstanding,4,2,3743
1011,Research & Development,High,Manufacturing Director,Excellent,4,3,4148
1012,Research & Development,Medium,Research Scientist,Excellent,0,0,1051
1013,Research & Development,High,Manufacturing Director,Excellent,10,7,10739
1014,Research & Development,High,Healthcare Representative,Excellent,16,10,10388
1015,Research & Development,Medium,Research Director,Excellent,8,7,11416
1016,Research & Development,Very High,Research Scientist,Excellent,1,0,2600
1017,Research & Development,Medium,Laboratory Technician,Excellent,3,2,2422
1018,Research & Development,Very High,Manufacturing Director,Excellent,8,7,5472
1019,Research & Development,Medium,Laboratory Technician,Excellent,4,3,2451
1022,Research & Development,Low,Healthcare Representative,Excellent,2,2,4240
1024,Research & Development,High,Healthcare Representative,Excellent,15,11,10999
1025,Research & Development,Very High,Manufacturing Director,Excellent,2,2,5003
1026,Research & Development,Very High,Manufacturing Director,Excellent,21,6,12742
1027,Research & Development,Low,Manufacturing Director,Excellent,3,2,4227
1028,Research & Development,Medium,Laboratory Technician,Outstanding,3,2,3917
1029,Sales,Very High,Manager,Excellent,1,0,18303
1030,Research & Development,Low,Laboratory Technician,Excellent,1,0,2380
1032,Research & Development,High,Manufacturing Director,Excellent,5,3,13726
1033,Research & Development,Low,Healthcare Representative,Excellent,1,0,4777
1034,Research & Development,High,Healthcare Representative,Excellent,8,7,6385
1035,Research & Development,Medium,Research Director,Outstanding,21,16,19973
1036,Sales,Medium,Sales Executive,Excellent,1,0,6861
1037,Sales,Medium,Sales Executive,Excellent,2,2,4969
1038,Sales,Low,Manager,Excellent,32,14,19845
1039,Sales,Very High,Sales Executive,Excellent,12,11,13320
1040,Sales,Very High,Sales Executive,Excellent,18,7,6347
1042,Research & Development,High,Laboratory Technician,Excellent,17,13,2743
1043,Research & Development,Very High,Manufacturing Director,Excellent,21,6,10880
1044,Sales,Medium,Sales Representative,Excellent,2,2,2342
1045,Sales,Very High,Manager,Excellent,9,3,17650
1046,Research & Development,Very High,Laboratory Technician,Excellent,8,7,4025
1047,Sales,Medium,Sales Executive,Excellent,15,1,9725
1048,Sales,Medium,Manager,Excellent,6,4,11904
1049,Human Resources,Medium,Human Resources,Excellent,6,3,2177
1050,Sales,High,Sales Executive,Excellent,15,7,7525
1052,Research & Development,Low,Laboratory Technician,Excellent,1,0,4834
1053,Research & Development,Low,Research Scientist,Excellent,3,2,2042
1055,Sales,High,Sales Representative,Excellent,1,1,2220
1056,Sales,Very High,Sales Representative,Outstanding,1,0,1052
1060,Research & Development,High,Research Scientist,Excellent,2,2,2821
1061,Research & Development,Medium,Research Director,Excellent,8,1,19237
1062,Research & Development,Very High,Healthcare Representative,Excellent,4,3,4107
1066,Sales,High,Sales Executive,Excellent,7,7,8396
1068,Research & Development,Low,Research Scientist,Excellent,5,3,2007
1069,Research & Development,Very High,Research Director,Excellent,2,2,19627
1070,Sales,High,Sales Executive,Excellent,9,4,10686
1071,Research & Development,Low,Research Scientist,Excellent,5,4,2942
1073,Research & Development,Very High,Manufacturing Director,Excellent,14,8,8858
1074,Research & Development,High,Manager,Excellent,9,7,16756
1076,Sales,High,Sales Executive,Excellent,1,0,10798
1077,Sales,Very High,Sales Representative,Excellent,2,2,2323
1079,Research & Development,High,Laboratory Technician,Excellent,1,0,1416
1080,Research & Development,Very High,Research Scientist,Outstanding,16,13,4615
1081,Research & Development,Low,Research Scientist,Excellent,10,0,2461
1082,Research & Development,Medium,Healthcare Representative,Excellent,10,7,8722
1083,Research & Development,Low,Laboratory Technician,Excellent,5,3,3955
1084,Research & Development,High,Manufacturing Director,Excellent,6,2,9957
1085,Research & Development,Medium,Research Scientist,Excellent,10,6,3376
1088,Research & Development,High,Healthcare Representative,Excellent,19,9,8823
1092,Research & Development,Low,Healthcare Representative,Outstanding,11,10,10322
1094,Research & Development,Low,Laboratory Technician,Excellent,3,2,4621
1096,Research & Development,Very High,Manufacturing Director,Excellent,3,2,10976
1097,Research & Development,High,Research Scientist,Excellent,8,7,3660
1098,Human Resources,Medium,Human Resources,Excellent,20,6,10482
1099,Research & Development,Very High,Healthcare Representative,Excellent,3,2,7119
1100,Sales,Very High,Sales Executive,Outstanding,8,7,9582
1101,Research & Development,Low,Research Scientist,Outstanding,13,7,4508
1102,Research & Development,Low,Laboratory Technician,Excellent,4,2,2207
1103,Research & Development,Low,Healthcare Representative,Excellent,6,2,7756
1105,Sales,Very High,Sales Executive,Excellent,1,0,6694
1106,Research & Development,Very High,Laboratory Technician,Excellent,7,7,3691
1107,Research & Development,Low,Laboratory Technician,Outstanding,1,1,2377
1108,Research & Development,Low,Research Scientist,Outstanding,2,2,2313
1109,Research & Development,Very High,Manager,Excellent,22,6,17665
1111,Research & Development,Low,Laboratory Technician,Excellent,1,0,2596
1113,Sales,Very High,Sales Executive,Excellent,0,0,4728
1114,Sales,Very High,Sales Executive,Excellent,3,2,4302
1115,Research & Development,High,Research Scientist,Excellent,0,0,2979
1116,Research & Development,Low,Manager,Outstanding,5,4,16885
1117,Sales,Medium,Sales Executive,Excellent,15,10,5593
1118,Research & Development,Medium,Healthcare Representative,Excellent,8,6,10445
1119,Sales,High,Sales Executive,Excellent,8,7,8740
1120,Research & Development,High,Research Scientist,Outstanding,7,5,2514
1121,Research & Development,Very High,Manufacturing Director,Excellent,9,7,7655
1124,Sales,Low,Manager,Excellent,12,9,17465
1125,Sales,Very High,Sales Executive,Excellent,1,0,7351
1126,Research & Development,High,Manufacturing Director,Excellent,8,7,10820
1127,Research & Development,Low,Healthcare Representative,Excellent,18,7,12169
1128,Research & Development,High,Research Director,Excellent,20,7,19626
1131,Research & Development,Very High,Research Scientist,Excellent,2,2,2070
1132,Research & Development,High,Laboratory Technician,Excellent,5,4,6782
1133,Research & Development,Low,Manufacturing Director,Outstanding,11,9,7779
1135,Sales,High,Sales Representative,Excellent,2,2,2791
1136,Research & Development,Low,Research Scientist,Excellent,5,3,3201
1137,Sales,Very High,Sales Executive,Excellent,5,2,4968
1138,Sales,Very High,Sales Executive,Excellent,9,8,13120
1140,Research & Development,Very High,Manufacturing Director,Excellent,3,2,4033
1143,Research & Development,Very High,Research Scientist,Excellent,7,5,3291
1148,Research & Development,Medium,Laboratory Technician,Excellent,1,0,4272
1150,Research & Development,Medium,Manufacturing Director,Excellent,10,7,5056
1152,Human Resources,High,Human Resources,Excellent,7,6,2844
1154,Research & Development,High,Research Scientist,Excellent,3,1,2703
1156,Research & Development,High,Laboratory Technician,Excellent,0,0,1904
1157,Sales,Low,Sales Executive,Excellent,5,2,8224
1158,Research & Development,Medium,Laboratory Technician,Excellent,1,0,4766
1160,Research & Development,High,Laboratory Technician,Excellent,2,2,2610
1161,Research & Development,High,Healthcare Representative,Excellent,6,2,5731
1162,Research & Development,Very High,Research Scientist,Excellent,4,2,2539
1163,Sales,Medium,Sales Executive,Outstanding,6,5,5714
1164,Human Resources,High,Human Resources,Excellent,5,4,4323
1165,Sales,Very High,Sales Executive,Excellent,11,8,7336
1166,Research & Development,Medium,Research Director,Excellent,18,7,13499
1167,Sales,High,Sales Executive,Excellent,21,9,13758
1171,Sales,Medium,Sales Executive,Excellent,6,4,5155
1172,Research & Development,Very High,Laboratory Technician,Excellent,8,0,2258
1173,Research & Development,Very High,Laboratory Technician,Outstanding,4,3,3597
1175,Research & Development,High,Laboratory Technician,Excellent,1,1,2515
1177,Research & Development,Low,Laboratory Technician,Outstanding,8,7,4420
1179,Sales,High,Sales Executive,Excellent,10,3,6578
1180,Research & Development,High,Research Scientist,Excellent,1,1,4422
1182,Research & Development,High,Manufacturing Director,Excellent,7,7,10274
1184,Research & Development,Very High,Healthcare Representative,Outstanding,13,9,5343
1185,Research & Development,Very High,Laboratory Technician,Excellent,2,2,2376
1188,Sales,Low,Sales Executive,Excellent,4,3,5346
1190,Sales,High,Sales Representative,Excellent,1,0,2827
1191,Research & Development,Very High,Manager,Excellent,5,2,19943
1192,Research & Development,Medium,Laboratory Technician,Excellent,10,8,3131
1193,Research & Development,High,Research Scientist,Outstanding,1,1,2552
1195,Research & Development,Low,Research Scientist,Excellent,3,2,4477
1196,Research & Development,Very High,Manufacturing Director,Excellent,14,8,6474
1198,Research & Development,Low,Laboratory Technician,Excellent,2,2,3033
1200,Research & Development,High,Research Scientist,Excellent,6,4,2936
1201,Research & Development,Very High,Manager,Excellent,7,7,18606
1202,Research & Development,Medium,Research Scientist,Excellent,5,4,2168
1203,Research & Development,High,Research Scientist,Excellent,0,0,2853
1204,Sales,High,Manager,Outstanding,26,15,17048
1206,Research & Development,Very High,Research Scientist,Excellent,0,0,2290
1207,Human Resources,Medium,Human Resources,Excellent,5,4,3600
1210,Research & Development,Low,Research Scientist,Excellent,1,0,2107
1211,Sales,High,Sales Executive,Excellent,4,3,4115
1212,Sales,Medium,Sales Executive,Excellent,0,0,4327
1215,Research & Development,Very High,Manager,Outstanding,2,2,17856
1216,Research & Development,Very High,Laboratory Technician,Excellent,6,5,3196
1217,Research & Development,Very High,Research Director,Excellent,4,2,19081
1218,Sales,High,Sales Executive,Excellent,7,7,8966
1219,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2210
1220,Sales,Medium,Sales Executive,Excellent,10,7,4539
1221,Research & Development,High,Laboratory Technician,Excellent,7,7,2741
1224,Research & Development,High,Laboratory Technician,Excellent,10,7,3491
1225,Research & Development,Very High,Research Scientist,Outstanding,20,11,4541
1226,Sales,High,Sales Representative,Excellent,2,1,2678
1228,Research & Development,Very High,Manufacturing Director,Excellent,6,3,7379
1231,Human Resources,Very High,Human Resources,Excellent,4,3,6272
1233,Sales,Medium,Sales Executive,Excellent,11,7,5220
1234,Research & Development,High,Laboratory Technician,Outstanding,2,2,2743
1235,Research & Development,Very High,Research Scientist,Excellent,8,7,4998
1237,Research & Development,High,Manufacturing Director,Outstanding,7,7,10252
1238,Research & Development,Low,Research Scientist,Excellent,14,10,2781
1239,Sales,Medium,Sales Executive,Excellent,5,1,6852
1240,Sales,High,Sales Executive,Excellent,4,3,4950
1241,Research & Development,Very High,Research Scientist,Outstanding,11,9,3579
1242,Research & Development,Low,Research Director,Excellent,1,0,13191
1243,Sales,High,Sales Executive,Excellent,13,2,10377
1244,Research & Development,Low,Research Scientist,Excellent,9,7,2235
1245,Research & Development,Very High,Manufacturing Director,Excellent,5,4,10502
1246,Research & Development,Low,Research Scientist,Excellent,10,5,2011
1248,Research & Development,Low,Research Scientist,Outstanding,1,1,1859
1249,Research & Development,Low,Research Scientist,Excellent,3,2,3760
1250,Research & Development,Very High,Research Director,Excellent,10,9,17779
1251,Research & Development,High,Healthcare Representative,Excellent,6,5,6833
1252,Research & Development,High,Healthcare Representative,Excellent,10,9,6812
1254,Sales,High,Sales Executive,Excellent,6,1,5171
1255,Research & Development,High,Research Director,Excellent,8,7,19740
1256,Research & Development,Low,Manager,Excellent,1,0,18711
1257,Research & Development,High,Research Scientist,Excellent,11,10,3692
1258,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2559
1259,Research & Development,Low,Research Scientist,Excellent,5,3,2517
1260,Research & Development,High,Healthcare Representative,Excellent,6,0,6623
1263,Research & Development,Very High,Research Director,Excellent,1,0,18265
1264,Research & Development,Very High,Research Director,Excellent,7,7,16124
1265,Research & Development,High,Research Scientist,Excellent,1,0,2585
1267,Sales,Medium,Manager,Excellent,22,9,18213
1268,Sales,Very High,Sales Executive,Excellent,9,8,8380
1269,Research & Development,Medium,Research Scientist,Excellent,1,0,2994
1270,Research & Development,Very High,Research Scientist,Outstanding,1,0,1223
1273,Sales,High,Sales Representative,Excellent,1,0,1118
1275,Research & Development,High,Research Scientist,Outstanding,8,5,2875
1277,Sales,Low,Manager,Excellent,24,10,18824
1278,Research & Development,Very High,Healthcare Representative,Excellent,33,9,13577
1279,Research & Development,Low,Laboratory Technician,Outstanding,2,2,2625
1280,Sales,Very High,Manager,Excellent,11,4,18789
